"pais","anio","region","region_id","tramo","contribucion_po","contribucion_empleo","contribucion_vtas","contribucion_sal_neto","ent_nr","emp_nr","ventas_anuales_en_uf","sal_neto","poblacion","km_2","densidad_pobl","pib_regional","aporte_pib","pbi_per_capita","tasa_ocupacion","tasa_desempleo","tasa_informalidad","tasa_pobreza","anios_educacion_promedio","sin_educacion","basica_incompleta","basica_completa","media_incompleta","media_completa","superior_incompleta","superior_completa","renta_media_laboral_hogar","renta_media_autonoma_hogar","subsidios_promedio_hogar","renta_media_hogar","share_ing_trabajo","esperanza_vida","tasa_mortalidad_general","tasa_mortalidad_infantil","tasa_homicidios","tasa_denuncias_delitos_graves","ent_per_1000","tasa_empleo_pyme"
"Chile",2005,"Región Metropolitana",7,"Sin Ventas/Sin Información",0.173711807894195,0.0550893139355487,0,53789905.4930321,62415,296119,0,60384431.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Ñuble",11,"Pequeña",0.0985073396008577,0.308794414423031,0.226232341610964,1480763.32314799,2389,32286,15982595.43,1705257.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Magallanes y la Antártica Chilena",16,"Micro",0.675080450522928,0.165495480599647,0.0761172633090501,342565.109659884,6713,12011,3449638.16,457721.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Atacama",4,"Grande",0.00417615793470008,0.239563237136777,0.785823668659768,4143711.53981511,55,24090,84266737.74,4422483.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Ríos",13,"Sin Ventas/Sin Información",0.14714782023983,0.0338559218559219,0,407308.602607173,2626,3466,0,488478.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Aysén del General Carlos Ibáñez del Campo",15,"Sin Ventas/Sin Información",0.131539108494533,0.0364027615888102,NA,NA,782,1218,0,148098.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Tarapacá",2,"Micro",0.698740520043337,0.165130653825532,0.0338258994454067,434197.63790127,10319,16323,4523463.08,614821.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región Metropolitana",7,"Grande",0.017361439680269,0.525520566194745,0.879796874358642,403827890.443642,6238,2824806,7905447099.91,449563873.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Ríos",13,"Pequeña",0.120699316373417,0.36971916971917,0.223805620906363,2780095.96441913,2154,37850,14801151.24,3227283.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Ñuble",11,"Sin Ventas/Sin Información",0.150709219858156,0.110420352924298,0,1722633.63309655,3655,11545,0,1852245.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Valparaíso",6,"Pequeña",0.120984751944457,0.294429072246451,0.0997899426558855,8668032.47011596,11013,181744,75835697.25,11167716.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Coquimbo",5,"Sin Ventas/Sin Información",0.154629658122288,0.0549051230491278,0,1748169.03772352,5025,10758,0,1966489.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Arica y Parinacota",1,"Grande",0.00280767430978007,0.119379187515902,0.446844673864859,551788.952146955,36,7038,12470316.02,638501.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Arica y Parinacota",1,"Mediana",0.00779909530494463,0.146637265711136,0.164353936437127,685401.01292282,100,8645,4586706.85,794728.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de La Araucanía",12,"Mediana",0.0109436251633377,0.181017375732056,0.186135332187826,2876725.93026999,469,41140,21983683.21,3201277.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Arica y Parinacota",1,"Pequeña",0.0843862111995009,0.363107454838436,0.255668447254926,945001.300827526,1082,21407,7135066.21,1230145.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Lagos",14,"Mediana",0.0150161148549663,0.237314521861103,0.117281647418284,4572772.84757881,615,75457,29638895.8,5170501.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Ñuble",11,"Grande",0.00259772389905987,0.161015733346086,0.501815661493185,1796736.07601882,63,16835,35451680.52,1951437.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Biobío",10,"Grande",0.00597877610936114,0.291781347290529,0.668260039261241,18748932.7342751,391,155202,269524889.18,21029210.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Lagos",14,"Sin Ventas/Sin Información",0.143983787479246,0.0273837754197042,0,1008977.51136093,5897,8707,0,1119528.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Antofagasta",3,"Grande",0.00669789612097304,0.333045903840367,0.76952528210372,10825048.6630102,163,57549,164436781.24,11643818.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Ríos",13,"Mediana",0.0117673428219209,0.157079365079365,0.140751812773475,1019267.6731277,210,16081,9308474.29,1180791.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Magallanes y la Antártica Chilena",16,"Grande",0.00784392598551891,0.27675815696649,0.513974667691092,1289319.52424331,78,20086,23293357.51,1528615.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Valparaíso",6,"Mediana",0.0141055499406776,0.167472897050914,0.0810531211062785,7910727.48081914,1284,103377,61596587.69,9496781.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Coquimbo",5,"Mediana",0.0126473212911961,0.192147516050996,0.196109016019483,2462970.6694769,411,37649,19432393.88,2825914.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Antofagasta",3,"Sin Ventas/Sin Información",0.159188034188034,0.048947892312322,0,1352242.63560219,3874,8458,0,1537540.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Libertador General Bernardo O'Higgins",8,"Pequeña",0.119669421487603,0.358479709359802,0.146505365884675,4133545.61839098,5430,117125,36699380.75,4794930.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Ríos",13,"Micro",0.716351003025888,0.2322442002442,0.0890702739533911,1148442.85498257,12784,23776,5890569.64,1365180.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Coquimbo",5,"Micro",0.724005292796258,0.180419316314344,0.105301628838662,962323.272704196,23528,35351,10434312.35,1343465.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Los Ríos",13,"Grande",0.0040345175389443,0.207101343101343,0.54637229236677,2791569.62500092,72,21202,36133761.52,3168799.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
