anio,departamento,tramo,contribucion_po,contribucion_vtas,n_empresas,n_muertes,n_nace,tm,tn,ts1
2020,San José,Pequeñas,25.0140095,15.0008917,573,13,12,2.2687609,2.0942408,97.7312391
2020,San José,Medianas,21.679184,28.4677753,85,NA,NA,NA,NA,100
2020,San José,Grandes,22.1075935,46.3526001,14,NA,NA,NA,NA,NA
2020,Soriano,Micro,32.8605003,7.8825769,3511,516,611,14.6966676,17.4024494,85.3033324
2020,Soriano,Pequeñas,30.0001392,13.9518013,511,5,9,0.9784736,1.7612524,99.0215264
2020,Soriano,Medianas,17.9772835,22.0804501,65,NA,1,NA,1.5384615,100
2020,Soriano,Grandes,19.162075,56.0851746,7,1,NA,NA,NA,NA
2020,Tacuarembó,Micro,32.0062408,11.6482315,3676,619,697,16.8389554,18.960827,83.1610446
2020,Tacuarembó,Pequeñas,25.0728836,15.2569885,411,8,7,1.946472,1.703163,98.053528
2020,Tacuarembó,Medianas,18.3391991,25.9185658,59,NA,NA,NA,NA,100
2020,Tacuarembó,Grandes,24.5816803,47.1762123,6,NA,NA,NA,NA,NA
2020,Treinta y Tres,Micro,38.9153633,14.2710543,1896,315,321,16.6139241,16.9303797,83.3860759
2020,Treinta y Tres,Pequeñas,30.5550137,20.3814697,230,3,1,1.3043478,0.4347826,98.6956522
2020,Treinta y Tres,Medianas,17.9865646,32.3889008,30,1,NA,3.3333333,NA,96.6666667
2020,Treinta y Tres,Grandes,12.5430517,32.9585762,3,NA,NA,NA,NA,NA
2019,Artigas,Micro,36.6099892,22.1336346,2347,393,459,16.7447806,19.5568811,83.2552194
2019,Artigas,Pequeñas,29.5364437,25.3363953,293,9,9,3.0716724,3.0716724,96.9283276
2019,Artigas,Medianas,20.9037819,34.4143524,42,NA,NA,NA,NA,100
2019,Artigas,Grandes,12.949785200000001,18.1156178,3,NA,NA,NA,NA,NA
2019,Canelones,Micro,28.7177391,8.8771973,20051,3658,4142,18.2434791,20.6573238,81.7565209
2019,Canelones,Pequeñas,24.792511,11.142518,2762,118,97,4.2722665,3.5119479,95.7277335
2019,Canelones,Medianas,24.4025211,26.5316334,582,14,11,2.4054983,1.8900344,97.5945017
2019,Canelones,Grandes,22.0872307,53.4486465,63,1,NA,NA,NA,NA
2019,Cerro Largo,Micro,28.8999519,15.9573545,2770,522,649,18.8447653,23.4296029,81.1552347
2019,Cerro Largo,Pequeñas,26.7260113,19.3728142,347,15,7,4.3227666,2.0172911,95.6772334
2019,Cerro Largo,Medianas,19.4920387,24.4286194,52,NA,NA,NA,NA,100
2019,Cerro Largo,Grandes,24.8819962,40.2412148,9,NA,NA,NA,NA,NA
2019,Colonia,Micro,28.5974216,5.5403023,6788,1022,1316,15.0559811,19.3871538,84.9440189
2019,Colonia,Pequeñas,24.902935,7.7551861,1026,43,46,4.1910331,4.4834308,95.8089669
2019,Colonia,Medianas,22.276371,13.1334524,181,1,2,0.5524862,1.1049724,99.4475138
2019,Colonia,Grandes,24.2232723,73.5710602,22,NA,1,NA,NA,NA
2019,Durazno,Micro,30.1711388,9.1908607,2031,296,392,14.5741014,19.300837,85.4258986
2019,Durazno,Pequeñas,26.8066101,12.688138,293,13,10,4.4368601,3.4129693,95.5631399
2019,Durazno,Medianas,19.5023956,14.766408,39,NA,NA,NA,NA,100
2019,Durazno,Grandes,23.5198574,63.3545952,6,NA,NA,NA,NA,NA
2019,Flores,Micro,33.625042,13.3308153,1132,200,215,17.6678445,18.9929329,82.3321555
2019,Flores,Pequeñas,30.9117966,21.0051632,160,8,3,5,1.875,95
2019,Flores,Medianas,16.5122375,21.9802647,21,1,NA,4.7619048,NA,95.2380952
2019,Flores,Grandes,18.9509258,43.6837578,5,NA,NA,NA,NA,NA
2019,Florida,Micro,32.9694443,11.6338043,2895,478,580,16.5112263,20.0345423,83.4887737
2019,Florida,Pequeñas,28.8937626,18.9200325,425,13,14,3.0588235,3.2941176,96.9411765
2019,Florida,Medianas,23.4405632,36.4723282,64,NA,NA,NA,NA,100
2019,Florida,Grandes,14.6962299,32.973835,4,NA,NA,NA,NA,NA
2019,Lavalleja,Micro,32.4437637,14.5284042,2306,346,457,15.0043365,19.8178664,84.9956635
2019,Lavalleja,Pequeñas,27.5196018,17.464613,342,16,13,4.6783626,3.8011696,95.3216374
2019,Lavalleja,Medianas,19.3183784,27.0175648,54,NA,NA,NA,NA,100
2019,Lavalleja,Grandes,20.7182617,40.9894142,6,NA,NA,NA,NA,NA
2019,Maldonado,Micro,25.4566364,12.1852169,10986,2124,2454,19.3336974,22.3375205,80.6663026
2019,Maldonado,Pequeñas,25.815897,16.5316792,1806,114,89,6.3122924,4.9280177,93.6877076
2019,Maldonado,Medianas,25.5739269,29.8161049,338,11,5,3.2544379,1.4792899,96.7455621
2019,Maldonado,Grandes,23.1535416,41.4670029,27,NA,2,NA,NA,NA
2019,Montevideo,Micro,17.1390915,2.3523405,76113,14016,14894,18.4147255,19.5682735,81.5852745
2019,Montevideo,Pequeñas,18.3828583,3.6804745,12944,443,437,3.4224351,3.3760816,96.5775649
2019,Montevideo,Medianas,21.8255424,10.5590897,3168,50,50,1.5782828,1.5782828,98.4217172
2019,Montevideo,Grandes,42.652504,83.4080963,660,4,4,NA,NA,NA
2019,Paysandú,Micro,29.8548794,11.2147636,4835,859,1094,17.7662875,22.6266805,82.2337125
2019,Paysandú,Pequeñas,27.8611584,15.3305101,705,38,31,5.3900709000000004,4.3971631,94.6099291
2019,Paysandú,Medianas,22.2056637,23.9472828,114,2,NA,1.754386,NA,98.245614
2019,Paysandú,Grandes,20.0782967,49.5074425,11,NA,NA,NA,NA,NA
2019,Río Negro,Micro,31.0845356,6.4774108,2427,427,590,17.5937371,24.3098475,82.4062629
2019,Río Negro,Pequeñas,27.6316586,9.1759968,330,14,13,4.2424242,3.9393939,95.7575758
2019,Río Negro,Medianas,20.3848343,22.444088,54,NA,NA,NA,NA,100
2019,Río Negro,Grandes,20.8989735,61.902504,8,NA,NA,NA,NA,NA
2019,Rivera,Micro,30.0990677,13.8911428,3277,633,754,19.316448,23.0088496,80.683552
2019,Rivera,Pequeñas,25.400322,14.9885998,387,14,11,3.6175711,2.8423773,96.3824289
2019,Rivera,Medianas,22.4625015,25.071228,72,NA,NA,NA,NA,100
2019,Rivera,Grandes,22.038105,46.0490303,6,NA,NA,NA,NA,NA
2019,Rocha,Micro,36.0495415,16.3670807,3747,724,783,19.3221244,20.8967174,80.6778756
2019,Rocha,Pequeñas,29.611496,22.2059612,486,37,17,7.6131687,3.4979424,92.3868313
2019,Rocha,Medianas,18.6331425,28.1995239,58,NA,NA,NA,NA,100
2019,Rocha,Grandes,15.705821,33.2274323,3,NA,NA,NA,NA,NA
2019,Salto,Micro,25.3417492,12.0648155,3815,673,911,17.6408912,23.8794233,82.3591088
2019,Salto,Pequeñas,26.0082493,16.2195263,572,28,24,4.8951049,4.1958042,95.1048951
2019,Salto,Medianas,26.2649746,28.2462406,127,NA,1,NA,0.7874016,100
2019,Salto,Grandes,22.3850327,43.4694138,14,NA,NA,NA,NA,NA
2019,San José,Micro,30.0828648,11.3462753,4621,793,866,17.1607877,18.7405324,82.8392123
2019,San José,Pequeñas,23.8407974,15.6034908,585,19,20,3.2478632,3.4188034,96.7521368
2019,San José,Medianas,21.2456303,27.0230503,97,NA,NA,NA,NA,100
2019,San José,Grandes,24.8307114,46.0271835,15,NA,NA,NA,NA,NA
2019,Soriano,Micro,32.3154907,8.9274807,3404,499,630,14.6592244,18.5076381,85.3407756
2019,Soriano,Pequeñas,28.6717167,14.2522831,487,14,14,2.8747433,2.8747433,97.1252567
