"pais","anio","region","region_id","tramo","contribucion_po","contribucion_vtas","ent_nr","ent_per_1000","n_muertes","n_nace","tm","tn","ts1","tasa_informalidad","tasa_pobreza","tasa_homicidios","tasa_desempleo","poblacion","km_2","densidad_poblacion","pib_regional","ingresos_promedio_per_capita","ingreso_medio_hogares","idh","gini","esperanza_vida_mujeres","esperanza_vida_hombres","aporte_pib","anios_educacion_promedio"
"Uruguay",2017,"Artigas",2,"Micro",35.3998032,21.8459377,2081,26.9894380548184,368,403,17.6838059,19.3656896,82.3161941,40.92346039,10.7,4,7.8,77104.2359523481,11928,6.46413782296681,NA,26089,63784.35935,0.775462906,0.357,80.2,74.4,NA,8.401245098
"Uruguay",2017,"Artigas",2,"Pequeña",31.5965729,24.3004074,296,3.83895899290064,6,7,2.027027,2.3648649,97.972973,40.92346039,10.7,4,7.8,77104.2359523481,11928,6.46413782296681,NA,26089,63784.35935,0.775462906,0.357,80.2,74.4,NA,8.401245098
"Uruguay",2017,"Artigas",2,"Mediana",23.3111267,37.1329651,39,0.505808786226774,NA,NA,NA,NA,100,40.92346039,10.7,4,7.8,77104.2359523481,11928,6.46413782296681,NA,26089,63784.35935,0.775462906,0.357,80.2,74.4,NA,8.401245098
"Uruguay",2017,"Artigas",2,"Grandes",9.6924963,16.7206841,1,0.0129694560570968,NA,NA,NA,NA,NA,40.92346039,10.7,4,7.8,77104.2359523481,11928,6.46413782296681,NA,26089,63784.35935,0.775462906,0.357,80.2,74.4,NA,8.401245098
"Uruguay",2018,"Artigas",2,"Micro",34.9309273,21.1332188,2270,29.3709085027106,418,584,18.4140969,25.7268722,81.5859031,42.85408905,10.7,2.7,7.6,77287.3607158086,11928,6.47949033499401,NA,24294.4,59296.34722,0.777997651,0.334,NA,NA,NA,8.246842505
"Uruguay",2018,"Artigas",2,"Pequeña",30.7433147,25.0381241,303,3.92043404243229,10,18,3.30033,5.9405941,96.69967,42.85408905,10.7,2.7,7.6,77287.3607158086,11928,6.47949033499401,NA,24294.4,59296.34722,0.777997651,0.334,NA,NA,NA,8.246842505
"Uruguay",2018,"Artigas",2,"Mediana",22.1844902,38.5150223,68,0.879833382460052,NA,2,NA,2.9411765,100,42.85408905,10.7,2.7,7.6,77287.3607158086,11928,6.47949033499401,NA,24294.4,59296.34722,0.777997651,0.334,NA,NA,NA,8.246842505
"Uruguay",2018,"Artigas",2,"Grandes",12.1412706,15.313633,3,0.0388161786379435,NA,NA,NA,NA,NA,42.85408905,10.7,2.7,7.6,77287.3607158086,11928,6.47949033499401,NA,24294.4,59296.34722,0.777997651,0.334,NA,NA,NA,8.246842505
"Uruguay",2019,"Artigas",2,"Micro",36.6099892,22.1336346,2347,30.3082989270909,393,459,16.7447806,19.5568811,83.2552194,42.42677307,10.3,14.8,7.2,77437.5363541814,11928,6.49208051259066,NA,23907.1,58908.15,NA,0.318,NA,NA,NA,8.205094896
"Uruguay",2019,"Artigas",2,"Pequeña",29.5364437,25.3363953,293,3.7836947531477,9,9,3.0716724,3.0716724,96.9283276,42.42677307,10.3,14.8,7.2,77437.5363541814,11928,6.49208051259066,NA,23907.1,58908.15,NA,0.318,NA,NA,NA,8.205094896
"Uruguay",2019,"Artigas",2,"Mediana",20.9037819,34.4143524,42,0.542372626731069,NA,NA,NA,NA,100,42.42677307,10.3,14.8,7.2,77437.5363541814,11928,6.49208051259066,NA,23907.1,58908.15,NA,0.318,NA,NA,NA,8.205094896
"Uruguay",2019,"Artigas",2,"Grandes",12.9497852,18.1156178,3,0.0387409019093621,NA,NA,NA,NA,NA,42.42677307,10.3,14.8,7.2,77437.5363541814,11928,6.49208051259066,NA,23907.1,58908.15,NA,0.318,NA,NA,NA,8.205094896
"Uruguay",2020,"Artigas",2,"Micro",38.2566528,20.8324203,2404,30.9956842492786,428,438,17.8036606,18.2196339,82.1963394,39.48061558,15.9,8.1,11,77559.1847131413,11928,6.50227906716476,NA,22194,54553.79027,NA,0.3418246,NA,NA,NA,NA
"Uruguay",2020,"Artigas",2,"Pequeña",29.2378731,23.7561092,280,3.61014625199584,2,2,0.7142857,0.7142857,99.2857143,39.48061558,15.9,8.1,11,77559.1847131413,11928,6.50227906716476,NA,22194,54553.79027,NA,0.3418246,NA,NA,NA,NA
"Uruguay",2020,"Artigas",2,"Mediana",20.3220158,35.4363708,32,0.412588143085239,NA,NA,NA,NA,100,39.48061558,15.9,8.1,11,77559.1847131413,11928,6.50227906716476,NA,22194,54553.79027,NA,0.3418246,NA,NA,NA,NA
