Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
08029 Cabrera de Mar;;;Renta neta media por hogar;2019;55.994
08029 Cabrera de Mar;;;Renta neta media por hogar;2018;52.662
08029 Cabrera de Mar;;;Renta neta media por hogar;2017;49.577
08029 Cabrera de Mar;;;Renta neta media por hogar;2016;49.436
08029 Cabrera de Mar;;;Renta neta media por hogar;2015;45.531
08030 Cabrils;;;Renta neta media por hogar;2023;72.705
08030 Cabrils;;;Renta neta media por hogar;2022;62.400
08030 Cabrils;;;Renta neta media por hogar;2021;61.569
08030 Cabrils;;;Renta neta media por hogar;2020;58.947
08030 Cabrils;;;Renta neta media por hogar;2019;59.660
08030 Cabrils;;;Renta neta media por hogar;2018;58.076
08030 Cabrils;;;Renta neta media por hogar;2017;56.356
08030 Cabrils;;;Renta neta media por hogar;2016;54.333
08030 Cabrils;;;Renta neta media por hogar;2015;53.335
08031 Calaf;;;Renta neta media por hogar;2023;35.779
08031 Calaf;;;Renta neta media por hogar;2022;33.848
08031 Calaf;;;Renta neta media por hogar;2021;32.423
08031 Calaf;;;Renta neta media por hogar;2020;31.292
08031 Calaf;;;Renta neta media por hogar;2019;30.936
08031 Calaf;;;Renta neta media por hogar;2018;30.240
08031 Calaf;;;Renta neta media por hogar;2017;29.353
08031 Calaf;;;Renta neta media por hogar;2016;28.772
08031 Calaf;;;Renta neta media por hogar;2015;28.072
08032 Caldes d'Estrac;;;Renta neta media por hogar;2023;46.682
08032 Caldes d'Estrac;;;Renta neta media por hogar;2022;42.843
08032 Caldes d'Estrac;;;Renta neta media por hogar;2021;39.972
08032 Caldes d'Estrac;;;Renta neta media por hogar;2020;39.469
08032 Caldes d'Estrac;;;Renta neta media por hogar;2019;37.232
08032 Caldes d'Estrac;;;Renta neta media por hogar;2018;38.043
08032 Caldes d'Estrac;;;Renta neta media por hogar;2017;36.673
08032 Caldes d'Estrac;;;Renta neta media por hogar;2016;34.175
08032 Caldes d'Estrac;;;Renta neta media por hogar;2015;33.812
08033 Caldes de Montbui;;;Renta neta media por hogar;2023;46.606
08033 Caldes de Montbui;;;Renta neta media por hogar;2022;44.170
08033 Caldes de Montbui;;;Renta neta media por hogar;2021;41.821
08033 Caldes de Montbui;;;Renta neta media por hogar;2020;39.974
08033 Caldes de Montbui;;;Renta neta media por hogar;2019;40.363
08033 Caldes de Montbui;;;Renta neta media por hogar;2018;38.471
08033 Caldes de Montbui;;;Renta neta media por hogar;2017;36.567
08033 Caldes de Montbui;;;Renta neta media por hogar;2016;35.203
08033 Caldes de Montbui;;;Renta neta media por hogar;2015;34.130
08034 Calders;;;Renta neta media por hogar;2023;46.417
08034 Calders;;;Renta neta media por hogar;2022;43.813
08034 Calders;;;Renta neta media por hogar;2021;42.184
08034 Calders;;;Renta neta media por hogar;2020;41.677
08034 Calders;;;Renta neta media por hogar;2019;43.395
08034 Calders;;;Renta neta media por hogar;2018;40.242
08034 Calders;;;Renta neta media por hogar;2017;37.569
08034 Calders;;;Renta neta media por hogar;2016;35.775
08034 Calders;;;Renta neta media por hogar;2015;34.897
08035 Calella;;;Renta neta media por hogar;2023;34.872
08035 Calella;;;Renta neta media por hogar;2022;32.516
08035 Calella;;;Renta neta media por hogar;2021;30.196
08035 Calella;;;Renta neta media por hogar;2020;28.968
08035 Calella;;;Renta neta media por hogar;2019;30.649
08035 Calella;;;Renta neta media por hogar;2018;29.008
08035 Calella;;;Renta neta media por hogar;2017;28.122
08035 Calella;;;Renta neta media por hogar;2016;27.179
08035 Calella;;;Renta neta media por hogar;2015;26.551
08036 Calonge de Segarra;;;Renta neta media por hogar;2023;47.542
08036 Calonge de Segarra;;;Renta neta media por hogar;2022;43.188
08036 Calonge de Segarra;;;Renta neta media por hogar;2021;40.190
08036 Calonge de Segarra;;;Renta neta media por hogar;2020;43.039
08036 Calonge de Segarra;;;Renta neta media por hogar;2019;40.955
08036 Calonge de Segarra;;;Renta neta media por hogar;2018;41.921
08036 Calonge de Segarra;;;Renta neta media por hogar;2017;43.783
08036 Calonge de Segarra;;;Renta neta media por hogar;2016;40.161
08036 Calonge de Segarra;;;Renta neta media por hogar;2015;38.106
08037 Calldetenes;;;Renta neta media por hogar;2023;46.702
08037 Calldetenes;;;Renta neta media por hogar;2022;45.491
08037 Calldetenes;;;Renta neta media por hogar;2021;41.888
08037 Calldetenes;;;Renta neta media por hogar;2020;41.449
08037 Calldetenes;;;Renta neta media por hogar;2019;40.133
08037 Calldetenes;;;Renta neta media por hogar;2018;38.858
08037 Calldetenes;;;Renta neta media por hogar;2017;37.496
08037 Calldetenes;;;Renta neta media por hogar;2016;36.283
08037 Calldetenes;;;Renta neta media por hogar;2015;34.695
08038 Callús;;;Renta neta media por hogar;2023;38.214
08038 Callús;;;Renta neta media por hogar;2022;36.937
08038 Callús;;;Renta neta media por hogar;2021;34.952
08038 Callús;;;Renta neta media por hogar;2020;34.114
08038 Callús;;;Renta neta media por hogar;2019;33.750
08038 Callús;;;Renta neta media por hogar;2018;32.293
08038 Callús;;;Renta neta media por hogar;2017;31.424
08038 Callús;;;Renta neta media por hogar;2016;30.700
08038 Callús;;;Renta neta media por hogar;2015;30.405
08039 Campins;;;Renta neta media por hogar;2023;50.862
08039 Campins;;;Renta neta media por hogar;2022;47.569
08039 Campins;;;Renta neta media por hogar;2021;43.319
08039 Campins;;;Renta neta media por hogar;2020;39.621
08039 Campins;;;Renta neta media por hogar;2019;32.381
08039 Campins;;;Renta neta media por hogar;2018;37.565
08039 Campins;;;Renta neta media por hogar;2017;35.921
08039 Campins;;;Renta neta media por hogar;2016;33.867
08039 Campins;;;Renta neta media por hogar;2015;30.930
08040 Canet de Mar;;;Renta neta media por hogar;2023;39.506
08040 Canet de Mar;;;Renta neta media por hogar;2022;37.164
08040 Canet de Mar;;;Renta neta media por hogar;2021;35.596
08040 Canet de Mar;;;Renta neta media por hogar;2020;34.209
08040 Canet de Mar;;;Renta neta media por hogar;2019;34.095
08040 Canet de Mar;;;Renta neta media por hogar;2018;32.997
08040 Canet de Mar;;;Renta neta media por hogar;2017;31.895
08040 Canet de Mar;;;Renta neta media por hogar;2016;31.027
08040 Canet de Mar;;;Renta neta media por hogar;2015;29.692
08041 Canovelles;;;Renta neta media por hogar;2023;38.648
08041 Canovelles;;;Renta neta media por hogar;2022;36.847
08041 Canovelles;;;Renta neta media por hogar;2021;34.312
08041 Canovelles;;;Renta neta media por hogar;2020;33.954
08041 Canovelles;;;Renta neta media por hogar;2019;33.615
08041 Canovelles;;;Renta neta media por hogar;2018;31.893
08041 Canovelles;;;Renta neta media por hogar;2017;30.071
08041 Canovelles;;;Renta neta media por hogar;2016;30.088
08041 Canovelles;;;Renta neta media por hogar;2015;28.527
08042 Cànoves i Samalús;;;Renta neta media por hogar;2023;47.718
08042 Cànoves i Samalús;;;Renta neta media por hogar;2022;45.030
08042 Cànoves i Samalús;;;Renta neta media por hogar;2021;42.772
08042 Cànoves i Samalús;;;Renta neta media por hogar;2020;41.372
08042 Cànoves i Samalús;;;Renta neta media por hogar;2019;40.133
08042 Cànoves i Samalús;;;Renta neta media por hogar;2018;37.824
08042 Cànoves i Samalús;;;Renta neta media por hogar;2017;36.262
08042 Cànoves i Samalús;;;Renta neta media por hogar;2016;34.738
08042 Cànoves i Samalús;;;Renta neta media por hogar;2015;33.395
08043 Canyelles;;;Renta neta media por hogar;2023;43.138
08043 Canyelles;;;Renta neta media por hogar;2022;40.674
08043 Canyelles;;;Renta neta media por hogar;2021;38.885
08043 Canyelles;;;Renta neta media por hogar;2020;36.155
08043 Canyelles;;;Renta neta media por hogar;2019;36.392
08043 Canyelles;;;Renta neta media por hogar;2018;34.483
08043 Canyelles;;;Renta neta media por hogar;2017;33.556
08043 Canyelles;;;Renta neta media por hogar;2016;32.521
08043 Canyelles;;;Renta neta media por hogar;2015;31.531
08044 Capellades;;;Renta neta media por hogar;2023;38.984
08044 Capellades;;;Renta neta media por hogar;2022;37.235
08044 Capellades;;;Renta neta media por hogar;2021;35.774
08044 Capellades;;;Renta neta media por hogar;2020;34.595
08044 Capellades;;;Renta neta media por hogar;2019;35.413
08044 Capellades;;;Renta neta media por hogar;2018;34.081
08044 Capellades;;;Renta neta media por hogar;2017;32.468
08044 Capellades;;;Renta neta media por hogar;2016;32.541
08044 Capellades;;;Renta neta media por hogar;2015;31.648
08045 Capolat;;;Renta neta media por hogar;2023;38.680
08045 Capolat;;;Renta neta media por hogar;2022;37.179
08045 Capolat;;;Renta neta media por hogar;2021;37.098
08045 Capolat;;;Renta neta media por hogar;2020;35.486
08045 Capolat;;;Renta neta media por hogar;2019;.
08045 Capolat;;;Renta neta media por hogar;2018;.
08045 Capolat;;;Renta neta media por hogar;2017;.
08045 Capolat;;;Renta neta media por hogar;2016;.
08045 Capolat;;;Renta neta media por hogar;2015;.
08046 Cardedeu;;;Renta neta media por hogar;2023;48.018
08046 Cardedeu;;;Renta neta media por hogar;2022;45.073
08046 Cardedeu;;;Renta neta media por hogar;2021;42.997
08046 Cardedeu;;;Renta neta media por hogar;2020;40.847
08046 Cardedeu;;;Renta neta media por hogar;2019;40.606
08046 Cardedeu;;;Renta neta media por hogar;2018;39.036
08046 Cardedeu;;;Renta neta media por hogar;2017;37.447
08046 Cardedeu;;;Renta neta media por hogar;2016;36.853
08046 Cardedeu;;;Renta neta media por hogar;2015;35.748
08047 Cardona;;;Renta neta media por hogar;2023;38.192
08047 Cardona;;;Renta neta media por hogar;2022;37.414
08047 Cardona;;;Renta neta media por hogar;2021;36.319
08047 Cardona;;;Renta neta media por hogar;2020;34.976
08047 Cardona;;;Renta neta media por hogar;2019;35.135
08047 Cardona;;;Renta neta media por hogar;2018;33.580
08047 Cardona;;;Renta neta media por hogar;2017;33.076
08047 Cardona;;;Renta neta media por hogar;2016;31.683
08047 Cardona;;;Renta neta media por hogar;2015;31.150
08048 Carme;;;Renta neta media por hogar;2023;40.704
08048 Carme;;;Renta neta media por hogar;2022;38.632
08048 Carme;;;Renta neta media por hogar;2021;37.066
08048 Carme;;;Renta neta media por hogar;2020;35.889
08048 Carme;;;Renta neta media por hogar;2019;36.379
08048 Carme;;;Renta neta media por hogar;2018;34.560
08048 Carme;;;Renta neta media por hogar;2017;43.657
08048 Carme;;;Renta neta media por hogar;2016;33.584
08048 Carme;;;Renta neta media por hogar;2015;32.392
08049 Casserres;;;Renta neta media por hogar;2023;36.487
08049 Casserres;;;Renta neta media por hogar;2022;35.825
08049 Casserres;;;Renta neta media por hogar;2021;34.183
08049 Casserres;;;Renta neta media por hogar;2020;33.474
08049 Casserres;;;Renta neta media por hogar;2019;33.046
08049 Casserres;;;Renta neta media por hogar;2018;32.175
08049 Casserres;;;Renta neta media por hogar;2017;31.066
08049 Casserres;;;Renta neta media por hogar;2016;30.544
08049 Casserres;;;Renta neta media por hogar;2015;29.364
08050 Castellar del Riu;;;Renta neta media por hogar;2023;42.738
08050 Castellar del Riu;;;Renta neta media por hogar;2022;43.661
08050 Castellar del Riu;;;Renta neta media por hogar;2021;44.778
08050 Castellar del Riu;;;Renta neta media por hogar;2020;40.932
08050 Castellar del Riu;;;Renta neta media por hogar;2019;39.734
08050 Castellar del Riu;;;Renta neta media por hogar;2018;35.817
08050 Castellar del Riu;;;Renta neta media por hogar;2017;34.395
08050 Castellar del Riu;;;Renta neta media por hogar;2016;34.373
08050 Castellar del Riu;;;Renta neta media por hogar;2015;34.059
08051 Castellar del Vallès;;;Renta neta media por hogar;2023;47.263
08051 Castellar del Vallès;;;Renta neta media por hogar;2022;44.583
08051 Castellar del Vallès;;;Renta neta media por hogar;2021;43.199
08051 Castellar del Vallès;;;Renta neta media por hogar;2020;41.160
08051 Castellar del Vallès;;;Renta neta media por hogar;2019;40.998
08051 Castellar del Vallès;;;Renta neta media por hogar;2018;39.283
08051 Castellar del Vallès;;;Renta neta media por hogar;2017;37.568
08051 Castellar del Vallès;;;Renta neta media por hogar;2016;36.540
08051 Castellar del Vallès;;;Renta neta media por hogar;2015;35.086
08052 Castellar de n'Hug;;;Renta neta media por hogar;2023;39.771
08052 Castellar de n'Hug;;;Renta neta media por hogar;2022;35.931
08052 Castellar de n'Hug;;;Renta neta media por hogar;2021;37.426
