Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Balears, Illes;Balears, Illes;;Distribución de la renta P80/P20;2015;2,9
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2023;31,7
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2022;31,6
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2021;32,1
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2020;33,6
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2019;32
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2018;32,3
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2017;32,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2016;34
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Índice de Gini;2015;34
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2023;30,5
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2022;31
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2021;31,8
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2020;32,8
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2019;31,5
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2018;32
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2017;32,4
